player_id,player_name,season,type,age,team,pos,G,MP,MPG,TS_pct,Usg,FGA3r,FTAr,AST_pct,TOV_pct,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,pace_impact,raptor_off,raptor_def,raptor_tot,war_total
kanteen01,Enes Kanter,2020,RS,27,BOS,C,58,983,16.9,59.9,19.4,2,28.4,8.8,12.5,18,28.9,23.5,1.1,3.9,-0.6,1.8,1,2.9,2.79
greenja02,Javonte Green,2020,RS,26,BOS,SF,48,468,9.8,56.4,15.3,26.2,33.3,7.7,13.7,5.6,15.6,10.6,2.5,1.6,0.5,-2.9,0,-3,-0.05
williro04,Robert Williams III,2020,RS,22,BOS,C,29,388,13.4,72.8,13.6,0,38.6,10.1,16.9,11.2,24,17.7,2.7,8.4,0.4,0.3,2.6,2.8,1.11
langfro01,Romeo Langford,2020,RS,20,BOS,SG,32,370,11.6,43.4,11.8,33.8,31.3,4.5,10.8,4.4,7.4,5.9,1,2,-0.1,-2.9,2.1,-0.8,0.37
edwarca01,Carsen Edwards,2020,RS,21,BOS,SG,37,351,9.5,44.4,18.4,59.4,14.8,9.3,9.9,1.9,12.4,7.2,1.7,1.1,0.5,-5,-0.3,-5.3,-0.46
poirivi01,Vincent Poirier,2020,RS,26,BOS,C,22,130,5.9,52.5,15.4,5.6,19.4,8.5,17,10.8,24.4,17.7,0.7,6.4,0.5,-5.6,-0.5,-6.1,-0.22
watertr01,Tremont Waters,2020,RS,22,BOS,PG,11,119,10.8,38.1,24.2,49,16.3,18.3,22.2,0,10.7,5.4,4.1,1.6,2.1,-7.7,2.1,-5.6,-0.17
fallta01,Tacko Fall,2020,RS,24,BOS,C,7,33,4.7,75.1,23.7,0,21.4,5.8,16.4,3.3,44.9,24.3,1.5,11.2,0.7,-6.2,0.9,-5.3,-0.04
tatumja01,Jayson Tatum,2020,PO,21,BOS,PF,17,690,40.6,56.3,28.2,37.7,36.8,21.3,11,3.7,23.1,13.8,1.2,2.9,0.2,3.6,3,6.6,3.39
brownja02,Jaylen Brown,2020,PO,23,BOS,SF,17,672,39.5,58.6,23.7,41.7,21.9,9.9,11.5,4.2,16.5,10.6,1.9,1.3,0.1,1,3,4,2.38
smartma01,Marcus Smart,2020,PO,25,BOS,SG,17,648,38.1,55.2,18.4,62.1,28.3,18,16.8,1.8,13.2,7.7,1.6,1.2,0.2,1.8,1.7,3.6,2.16
walkeke02,Kemba Walker,2020,PO,29,BOS,PG,17,628,36.9,57.3,23,49.2,31.6,22.5,9.9,1.1,10.8,6.2,1.2,1.1,-0.6,4.2,0.9,5.1,2.59
theisda01,Daniel Theis,2020,PO,27,BOS,C,17,482,28.4,57.8,13.6,22.2,28.2,7.8,10.2,7.8,19.9,14.1,0.6,4.3,-0.4,-1.6,1.8,0.1,0.73
wanambr01,Brad Wanamaker,2020,PO,30,BOS,PG,17,273,16.1,62.6,13.9,45,26.7,16.1,21.2,0.9,12.7,7,2.2,1.5,0.2,-0.8,-0.9,-1.7,0.15
willigr01,Grant Williams,2020,PO,21,BOS,PF,17,170,10,77.3,9,65.4,38.5,5,11.6,4.8,12.1,8.6,0.6,2.9,0,1.1,1,2,0.43
haywago01,Gordon Hayward,2020,PO,29,BOS,SF,5,157,31.4,50.4,17.2,48,16,13.5,11.6,2.2,11.7,7.2,2.2,1.3,1,-0.8,-1.5,-2.3,0.04
williro04,Robert Williams III,2020,PO,22,BOS,C,13,149,11.5,71.3,12.2,3.2,19.4,10.6,17.2,17.3,21,19.2,1,4,0.4,2.2,1.8,4,0.53
ojelese01,Semi Ojeleye,2020,PO,25,BOS,PF,13,122,9.4,36.4,10.9,82.1,7.1,1.1,3.3,1.9,8.8,5.5,1.2,0,-0.5,-4.6,-0.7,-5.3,-0.16
kanteen01,Enes Kanter,2020,PO,27,BOS,C,11,102,9.3,53.9,22,2.4,23.8,12,7.9,21.8,25.4,23.7,0,0,-0.2,1.1,-7.5,-6.4,-0.2
langfro01,Romeo Langford,2020,PO,20,BOS,SG,7,46,6.6,46,12.5,20,20,6.2,15.5,0,7,3.7,1.1,0,0.4,-5.4,9.5,4.2,0.17
greenja02,Javonte Green,2020,PO,26,BOS,SF,1,6,6,75,14.9,100,0,0,0,0,18,9.4,0,0,1,8.7,-8.3,0.4,0.01
edwarca01,Carsen Edwards,2020,PO,21,BOS,SG,1,3,3,0,0,0,0,0,0,0,36,18.7,0,0,-0.2,-9.9,23.9,14.1,0.03
fallta01,Tacko Fall,2020,PO,24,BOS,C,2,3,1.5,79.8,28,0,200,0,0,0,36,18.7,0,0,2.5,11.8,1.9,13.7,0.03
poirivi01,Vincent Poirier,2020,PO,26,BOS,C,1,2,2,0,0,0,0,63.3,0,0,0,0,24.9,0,0.7,16.6,18.4,35,0.04
watertr01,Tremont Waters,2020,PO,22,BOS,PG,1,2,2,0,22.3,100,0,63.3,0,0,54,28.1,0,0,-0.7,-11,-2.2,-13.1,-0.01
harrijo01,Joe Harris,2020,RS,28,BRK,SF,69,2123,30.8,60.6,18.3,51.8,11.4,10.4,11.2,3.2,11.2,7.3,0.9,0.7,0.3,1,-1.8,-0.8,2.07
dinwisp01,Spencer Dinwiddie,2020,RS,26,BRK,SG,64,1994,31.2,54.1,29.2,39.2,43.7,35,12.5,1.7,9.6,5.7,0.9,0.9,-0.5,3.4,-2.2,1.2,3.98
princta02,Taurean Prince,2020,RS,25,BRK,SF,64,1857,29,49.7,20.4,58.3,12,9.2,14,2.8,18.1,10.6,1.5,1.1,0.6,-2.4,0.2,-2.2,0.55
allenja01,Jarrett Allen,2020,RS,21,BRK,C,70,1852,26.5,66.4,14.9,1.3,58.1,8.9,11.7,12.3,24.9,18.7,1,4.2,-0.7,0,2.1,2.1,4.56
templga01,Garrett Temple,2020,RS,33,BRK,SG,62,1730,27.9,51.3,16.6,65.8,14.8,12.8,9,1.8,11.1,6.5,1.3,1.4,-0.1,-1.4,0.3,-1.1,1.43
leverca01,Caris LeVert,2020,RS,25,BRK,SG,45,1330,29.6,51.4,29.5,30.1,26.9,25,12.6,3.9,10.7,7.4,1.9,0.6,0.3,1.8,-0.1,1.7,3.05
jordade01,DeAndre Jordan,2020,RS,31,BRK,C,56,1234,22,68.2,14.1,0,42.5,12.6,17.8,12.1,34.5,23.5,0.7,3.5,0.3,-1.6,1.8,0.3,1.9
luwawti01,Timothe Luwawu-Cabarrot,2020,RS,24,BRK,SG,47,853,18.1,59.9,16.8,59.5,30.1,4.9,10.8,3.6,11.6,7.7,1,0.7,0.5,-0.4,1.4,0.9,1.61
chandwi01,Wilson Chandler,2020,RS,32,BRK,SF,35,734,21,53.1,12.9,66.1,12.6,7.3,15,1.6,18.5,10.2,1,1.4,-0.4,-2.6,0.8,-1.8,0.37
kurucro01,Rodions Kurucs,2020,RS,21,BRK,PF,47,684,14.6,55.5,14.7,50.8,21.5,10.4,19.2,3.9,16.6,10.4,1.7,0.6,1.2,-3.4,1.4,-2,0.27
irvinky01,Kyrie Irving,2020,RS,27,BRK,PG,20,658,32.9,59.5,32.6,34.1,24.5,36.7,10.1,3.5,12.5,8.1,1.9,1.3,1.1,6,-3.2,2.8,1.88
musadz01,Dzanan Musa,2020,RS,20,BRK,SF,40,487,12.2,48.4,20.1,45.3,34.9,12.6,15.4,4.6,13.5,9.1,1.5,0.2,1.1,-3.6,1.8,-1.7,0.26
pinsoth01,Theo Pinson,2020,RS,24,BRK,SG,33,365,11.1,37,22.3,51.6,10.3,21.7,16.9,2.9,12.2,7.7,2.2,0.9,0,-5.8,2.8,-3,-0.05
chiozch01,Chris Chiozza,2020,RS,24,BRK,PG,18,278,15.4,53.1,19.7,52.8,4.7,29.5,17.5,3.4,10.6,7.1,1.9,0.6,0.6,0.8,-0.3,0.5,0.46
nwabada01,David Nwaba,2020,RS,27,BRK,SF,20,268,13.4,62.7,14.2,39.4,38,4.3,8.8,3.2,14,8.7,1.9,3.7,0.4,-0.8,6.6,5.9,1.18
shumpim01,Iman Shumpert,2020,RS,29,BRK,SG,13,241,18.5,40.3,13.4,51.6,10.9,6.7,13,3.9,10.5,7.3,2.4,0.7,0,-4.4,1.1,-3.3,-0.07
johnsty01,Tyler Johnson,2020,RS,27,BRK,SG,8,194,24.3,55.2,19.8,45.6,22.8,18.6,5.4,4.4,8.4,6.4,1,0.4,0,2.5,-1.1,1.4,0.41
claxtni01,Nicolas Claxton,2020,RS,20,BRK,PF,15,187,12.5,57.7,14.8,14.6,43.8,12.4,13.6,10.7,13.6,12.2,0.3,3.6,-0.5,-3.2,1.2,-1.9,0.08
anderju01,Justin Anderson,2020,RS,26,BRK,SF,10,107,10.7,35.2,17.1,76.3,10.5,10.1,9.1,1,18.9,10.2,0,4.7,0.3,-2.6,1.3,-1.3,0.08
martije02,Jeremiah Martin,2020,RS,23,BRK,PG,9,99,11,54.1,26.7,34,26.4,30.8,6.3,1.1,9.2,5.2,3.3,1.7,-0.9,3.7,5.8,9.5,0.61
thomala01,Lance Thomas,2020,RS,31,BRK,SF,7,98,14,48.5,13.1,56.5,17.4,8.2,19.5,2.2,11.4,6.9,0,0,-0.6,-3.3,-9.6,-12.9,-0.51
halldo01,Donta Hall,2020,RS,22,BRK,PF,5,85,17,70.9,12.9,0,66.7,3.5,11.4,9.9,17.9,14,1.1,4.9,-0.2,-0.6,-3.5,-4.1,-0.06
ellenhe01,Henry Ellenson,2020,RS,23,BRK,PF,5,15,3,14.3,19.5,57.1,0,8.7,0,14.1,27,20.7,0,0,0.5,-7,18,10.9,0.11
crawfja01,Jamal Crawford,2020,RS,39,BRK,SG,1,6,6,62.5,27.9,50,0,100,0,0,0,0,0,0,0.1,26.4,-8.3,18.1,0.06
leverca01,Caris LeVert,2020,PO,25,BRK,SG,4,140,35,48.2,28.5,28.8,34.2,48.3,13.4,5.4,12.4,8.6,1.7,0.7,2.8,2,-5.3,-3.3,-0.04
templga01,Garrett Temple,2020,PO,33,BRK,SG,4,137,34.3,46.5,17.3,73.5,12.2,9.3,10.4,0,8.7,4,1,0.7,0.3,-1.8,0,-1.8,0.07
allenja01,Jarrett Allen,2020,PO,21,BRK,C,4,132,33,66,13.1,0,66.7,10.5,26.2,12.1,34.5,22.5,0.7,5.1,-2.5,0.4,7,7.4,0.69
luwawti01,Timothe Luwawu-Cabarrot,2020,PO,24,BRK,SG,4,131,32.8,49.8,22.7,66.1,20.3,7.6,11.1,0.7,11.6,5.8,1.1,0,-0.2,1.7,-0.7,0.9,0.25
johnsty01,Tyler Johnson,2020,PO,27,BRK,SG,4,93,23.3,58.7,22.1,60.9,4.3,18.3,6,0,8.2,3.8,0,1,0.9,-1.4,-13.9,-15.3,-0.62
harrijo01,Joe Harris,2020,PO,28,BRK,SF,2,72,36,66.6,15.9,52.2,17.4,4.7,10.8,2.6,27.1,14,0.6,0,0.2,1.8,1.8,3.7,0.24
chiozch01,Chris Chiozza,2020,PO,24,BRK,PG,4,65,16.3,44.6,18.2,66.7,16.7,41.4,10.4,1.4,8.3,4.7,3.6,0,1.7,-1.2,-0.3,-1.5,0.04
kurucro01,Rodions Kurucs,2020,PO,21,BRK,PF,4,58,14.5,52.7,17,40,10,9.1,12.6,4.9,18.7,11.3,0.8,3.3,2,-8.1,-3.6,-11.7,-0.28
musadz01,Dzanan Musa,2020,PO,20,BRK,SF,3,39,13,40.8,21.3,54.5,127.3,14.6,14.9,2.4,5.6,3.9,0,2.5,2.2,0.5,-12.8,-12.3,-0.2
anderju01,Justin Anderson,2020,PO,26,BRK,SF,3,28,9.3,69,23.2,91.7,33.3,18.6,12.7,0,31,14.4,0,3.4,1.1,1.8,-1,0.8,0.05
martije02,Jeremiah Martin,2020,PO,23,BRK,PG,3,27,9,41.6,25.1,35.7,7.1,24.4,12.2,0,12.1,5.6,0,3.6,-1.6,-3.3,-12.3,-15.7,-0.18
halldo01,Donta Hall,2020,PO,22,BRK,PF,3,20,6.7,51.8,16,0,80,0,12.9,14.1,10.8,12.6,0,9.6,-0.4,-5.3,-6.8,-12.1,-0.1
thomala01,Lance Thomas,2020,PO,31,BRK,SF,3,17,5.7,29.6,16.4,40,80,0,0,5.5,12.8,8.9,0,5.6,-0.7,-7.5,-3.1,-10.6,-0.07
grahade01,Devonte' Graham,2020,RS,24,CHA,PG,63,2211,35.1,53.7,24.8,60.7,24.2,35.3,14.5,2,8.7,5.2,1.4,0.6,-0.6,2.9,-1.5,1.4,4.65
roziete01,Terry Rozier,2020,RS,25,CHA,PG,63,2164,34.3,55.3,23.7,45,20.2,20.4,12.1,2.4,11.8,7,1.4,0.4,-0.8,-0.6,-1.5,-2.1,0.69
bridgmi02,Miles Bridges,2020,RS,21,CHA,SF,65,1995,30.7,52,20,39.8,17.4,9.4,10.5,4.6,15.6,9.9,1,2.2,-0.4,-1.5,-1.6,-3.1,-0.34
washipj01,P.J. Washington,2020,RS,21,CHA,PF,58,1759,30.3,54.7,18.6,39,23.1,11.3,12.5,3.5,16.6,9.8,1.5,2.3,0.1,-2.4,-0.7,-3.1,-0.3
zelleco01,Cody Zeller,2020,RS,27,CHA,C,58,1341,23.1,57.6,20.8,15.7,37.4,11.3,11.9,12.6,21.2,16.7,1.5,1.7,-0.1,-0.4,-1.3,-1.7,0.75
